,well_index,area,eccentricity,major_axis_length,cell_number,day,major_axis_length_um
18,18,3333.0,0.7623957338515738,81.82377478022045,300+cond,1,130.91803964835273
0,0,3662.0,0.8809026596984845,102.95086317413114,300,1,164.72138107860985
1,1,1915.0,0.8217432008326468,69.01821002650095,300,1,110.42913604240152
2,2,3446.0,0.8472458166130752,93.16016531947054,300,1,149.05626451115288
3,3,1850.0,0.8631496150163315,70.10111049360133,300,1,112.16177678976213
4,4,3564.0,0.8721824722064276,97.08081318087144,300,1,155.32930108939433
5,5,3165.0,0.6065713140709353,79.14994809838085,300,1,126.63991695740935
6,6,3630.0,0.8682241823692108,100.68419639227808,300,1,161.09471422764494
7,7,2085.0,0.8352814874992006,70.14245907724396,300,1,112.22793452359033
8,8,3774.0,0.7082266499028665,84.24095532244856,300,1,134.7855285159177
9,9,3976.0,0.8184774780942222,95.94256170652409,300,1,153.50809873043855
10,10,3190.0,0.8360926898561342,87.28391446486465,300,1,139.65426314378345
11,11,4855.0,0.8658569440570816,114.66835079549023,300,1,183.46936127278437
12,12,4511.0,0.6999510117325399,91.17028553832616,300,1,145.87245686132187
13,13,3279.0,0.8963979250830688,98.03272994884016,300,1,156.85236791814427
14,14,,,,300,1,
15,15,5487.0,0.3679935008577709,91.30319131270632,300,1,146.0851061003301
16,16,4906.0,0.8195985142492489,105.3226992335058,300,1,168.5163187736093
17,17,4472.0,0.7635876609145714,96.93815334683407,300,1,155.1010453549345
18,18,4526.0,0.7918854222340336,100.37181613937426,300,1,160.59490582299884
19,19,6684.0,0.8441642548954617,131.67394555215748,300,1,210.67831288345198
20,20,4367.0,0.8689820301005292,109.5226289880463,300,1,175.2362063808741
21,21,1832.0,0.7858954138289418,66.63748259515275,300,1,106.6199721522444
22,22,2478.0,0.9314696973590972,96.1765339933156,300,1,153.88245438930497
23,23,3184.0,0.8481933837310678,94.0812072901542,300,1,150.52993166424673
24,24,7729.0,0.6620875371862615,133.2018151464855,300,1,213.12290423437682
25,25,7568.0,0.7868078009628579,156.0510530357294,300,1,249.68168485716706
26,26,5731.0,0.5402854420594415,104.42225218831273,300,1,167.07560350130038
27,27,2237.0,0.8692271939803061,77.116882563786,300,1,123.38701210205761
28,28,6009.0,0.8875535472703802,133.57257311389856,300,1,213.7161169822377
29,29,5265.0,0.7180270328371221,106.84838142356371,300,1,170.95741027770194
